function name,Linear model,Log10 model,Inverse model,Branch model
.TAU_application,0.0,0.0,0.0,0.0
ALLOC_SPACE,0.0,0.0,0.0,0.0
CFFTS1,443.99999999999994,123.73774042017318,336.5144236197054,0.0
CFFTS2,0.0,1.6148698540002278e-14,0.0,0.0
CFFTZ,175607.92632164035,0.00040690274535866894,2.992966167966821e-05,175607.92632164035
CHECKSUM,0.0,1.7763568394002505e-14,0.0,0.0
COMPUTE_INDEXMAP,0.0,0.0,0.0,0.0
COMPUTE_INITIAL_CONDITIONS,0.0,0.0,0.0,0.0
EVOLVE,0.0,1.7763568394002505e-14,0.0,0.0
FFT,0.0,1.6148698540002278e-14,0.0,0.0
FFTZ2,175608.6683067084,0.00043156101182233614,0.00020128927176546642,175608.6683067084
FFT_INIT,0.0,0.0,0.0,0.0
FT,0.0,0.0,0.0,0.0
ILOG2,0.0,2.0898315757650004e-14,0.0,0.0
IPOW46,0.0,0.0,0.0,0.0
MPI_Barrier(),0.0,0.0,0.0,0.0
MPI_Bcast(),0.0,1.7763568394002505e-14,0.0,0.0
MPI_Comm_rank(),0.0,0.0,0.0,0.0
MPI_Comm_size(),0.0,0.0,0.0,0.0
MPI_Comm_split(),0.0,0.0,0.0,0.0
MPI_Finalize(),0.0,0.0,0.0,0.0
MPI_Init(),0.0,0.0,0.0,0.0
MPI_Reduce(),0.0,1.7763568394002505e-14,0.0,0.0
SETUP,0.0,0.0,0.0,0.0
SET_CLASS,175608.5217391305,6.661338147750939e-15,0.0,175608.5217391305
VERIFY,0.0,0.0,0.0,0.0
