,"['A', 'B', 'C', 'D']","['A', 'B', 'C']",['A']
.TAU_application,0.0,0.0,0.0
ALLOC_SPACE,0.0,0.0,0.0
CG,0.0,0.0,0.0
CONJ_GRAD,0.3,0.247,0.841
ICNVRT,0.167,1.467,0.995
INITIALIZE_MPI,0.0,0.0,0.0
MAKEA,0.0,0.0,0.0
MPI_Barrier(),0.0,0.0,0.0
MPI_Bcast(),0.0,0.0,0.0
MPI_Comm_rank(),0.0,0.0,0.0
MPI_Comm_size(),0.0,0.0,0.0
MPI_Finalize(),0.0,0.0,0.0
MPI_Init(),0.0,0.0,0.0
MPI_Irecv(),0.691,0.021,0.793
MPI_Reduce(),0.0,0.0,0.0
MPI_Send(),0.691,0.021,0.793
MPI_Wait(),0.691,0.021,0.793
SETUP_PROC_INFO,0.0,0.0,0.0
SETUP_SUBMATRIX_INFO,0.0,0.0,0.0
SPARSE,0.0,0.0,0.0
SPRNVC,0.04,0.262,0.99
VECSET,0.04,0.262,0.99
