,"['A', 'B', 'C', 'D']","['A', 'B', 'C']",['A']
.TAU_application,0.0,0.0,0.0
ALLOC_SPACE,0.0,0.0,0.0
CFFTS1,14.362686776054323,0.0,0.0
CFFTZ,11.636346901269935,11.069458948882815,0.0
CHECKSUM,32.591790182492964,0.0,0.0
COMPUTE_INDEXMAP,0.0,0.0,0.0
COMPUTE_INITIAL_CONDITIONS,0.0,0.0,0.0
EVOLVE,32.591790182492964,0.0,0.0
FFT,26.860346725560486,0.0,0.0
FFTZ2,10.752807561909536,8.20026078959808,0.0
FFT_INIT,0.0,0.0,0.0
FT,0.0,0.0,0.0
ILOG2,25.397446071778067,0.0,0.0
IPOW46,0.0,0.0,0.0
MPI_Alltoall(),5.729370637372429,0.0,0.0
MPI_Barrier(),0.0,0.0,0.0
MPI_Bcast(),0.0,0.0,0.0
MPI_Comm_rank(),0.0,0.0,0.0
MPI_Comm_size(),0.0,0.0,0.0
MPI_Comm_split(),0.0,0.0,0.0
MPI_Finalize(),0.0,0.0,0.0
MPI_Init(),0.0,0.0,0.0
MPI_Reduce(),32.591790182492964,0.0,0.0
SETUP,0.0,0.0,0.0
SET_CLASS,0.0,0.0,0.0
VERIFY,0.0,0.0,0.0
