,"[1, 4, 16, 64, 256]","[1, 4, 16, 64]","[1, 4, 16]","[1, 4]",[1]
.TAU_application,0.0,0.0,0.0,0.0,0.0
ADD,0.0,0.0,0.0,0.0,0.0
ADI,0.0,0.0,0.0,0.0,0.0
ALLOC_SPACE,0.0,0.0,0.0,0.0,0.0
COMPUTE_BUFFER_SIZE,0.0,0.0,0.0,0.0,0.0
COMPUTE_RHS,0.0,0.0,0.0,0.0,0.0
COPY_FACES,0.0,0.0,0.0,0.0,0.0
ERROR_NORM,0.0,0.0,0.0,0.0,0.0
EXACT_RHS,0.0,0.0,0.0,0.0,0.0
EXACT_SOLUTION,0.016,0.041,0.058,0.087,230.464
INITIALIZE,0.0,0.0,0.0,0.0,0.0
LHSINIT,0.0,0.0,0.0,0.0,0.0
LHSX,0.0,0.0,0.0,4.375,0.937
LHSY,0.0,0.0,0.0,4.375,0.937
LHSZ,0.0,0.0,0.0,4.375,0.937
MAKE_SET,0.0,0.0,0.0,0.0,0.0
MPI_Allreduce(),0.0,0.0,0.0,0.0,0.0
MPI_Barrier(),0.0,0.0,0.0,0.0,0.0
MPI_Bcast(),0.0,0.0,0.0,0.0,0.0
MPI_Comm_dup(),0.0,0.0,0.0,0.0,0.0
MPI_Comm_rank(),0.0,0.0,0.0,0.0,0.0
MPI_Comm_size(),0.0,0.0,0.0,0.0,0.0
MPI_Finalize(),0.0,0.0,0.0,0.0,0.0
MPI_Init(),0.0,0.0,0.0,0.0,0.0
MPI_Reduce(),0.0,0.0,0.0,0.0,0.0
MPSP,0.0,0.0,0.0,0.0,0.0
NINVR,0.0,0.0,0.0,4.375,0.937
PINVR,0.0,0.0,0.0,4.375,0.937
RHS_NORM,0.0,0.0,0.0,0.0,0.0
SETUP_MPI,0.0,0.0,0.0,0.0,0.0
SET_CLASS,0.0,0.0,0.0,16065.0,255.0
SET_CONSTANTS,0.0,0.0,0.0,0.0,0.0
TXINVR,0.0,0.0,0.0,0.0,0.0
TZETAR,0.0,0.0,0.0,4.375,0.937
VERIFY,0.0,0.0,0.0,0.0,0.0
X_SOLVE,0.0,0.0,0.0,0.0,0.0
Y_SOLVE,0.0,0.0,0.0,0.0,0.0
Z_SOLVE,0.0,0.0,0.0,0.0,0.0
