function name,Linear model,Log10 model,Inverse model,Branch model
.TAU_application,0.0,0.0,0.0,0.0
ALLOC_SPACE,0.0,0.0,0.0,0.0
APPLU,0.0,0.0,0.0,0.0
BCAST_INPUTS,0.0,0.0,0.0,0.0
BLTS,0.0,5.753877893441632e-14,1.8552242522220688e-14,0.0
BUTS,0.0,5.753877893441632e-14,1.8552242522220688e-14,0.0
ERHS,0.0,0.0,0.0,0.0
ERROR,0.0,0.0,0.0,0.0
EXACT,2.2192540670853746e-14,5.057599895630275e-14,4.9972700985124766e-14,2.2192540670853746e-14
EXCHANGE_1,0.0,1.631737056515882e-13,1.893563059853674e-14,0.0
EXCHANGE_3,0.0,1.1189649382048821e-14,0.0,0.0
EXCHANGE_4,0.0,0.0,0.0,0.0
EXCHANGE_5,0.0,0.0,0.0,0.0
EXCHANGE_6,0.0,0.0,0.0,0.0
INIT_COMM,0.0,0.0,0.0,0.0
ISQRT2,0.0,0.0,0.0,0.0
JACLD,0.0,5.753877893441632e-14,1.8552242522220688e-14,0.0
JACU,0.0,5.753877893441632e-14,1.8552242522220688e-14,0.0
L2NORM,0.0,0.0,0.0,0.0
MPI_Allreduce(),0.0,0.0,0.0,0.0
MPI_Barrier(),0.0,0.0,0.0,0.0
MPI_Bcast(),0.0,0.0,0.0,0.0
MPI_Comm_rank(),0.0,0.0,0.0,0.0
MPI_Comm_size(),0.0,0.0,0.0,0.0
MPI_Finalize(),0.0,0.0,0.0,0.0
MPI_Init(),0.0,0.0,0.0,0.0
MPI_Irecv(),0.0,3.8270321544370895e-14,1.275677384812363e-14,0.0
MPI_Recv(),0.0,1.7980500025136124e-13,1.4961485905016683e-14,0.0
MPI_Send(),0.0,8.199075079200445e-15,2.1342489449941232e-14,0.0
MPI_Wait(),0.0,3.8270321544370895e-14,1.275677384812363e-14,0.0
NEIGHBORS,0.0,0.0,0.0,0.0
PINTGR,0.0,0.0,0.0,0.0
PROC_GRID,0.0,0.0,0.0,0.0
READ_INPUT,0.0,0.0,0.0,0.0
RHS,0.0,1.1233877245218975e-14,1.1233877245218975e-14,0.0
SETBV,0.0,0.0,0.0,0.0
SETCOEFF,0.0,0.0,0.0,0.0
SETIV,0.0,0.0,0.0,0.0
SET_CLASS,0.0,2.220446049250313e-14,0.0,0.0
SSOR,0.0,0.0,0.0,0.0
SUBDOMAIN,0.0,0.0,0.0,0.0
VERIFY,0.0,2.220446049250313e-14,0.0,0.0
