,"['A', 'B', 'C', 'D']","['A', 'B', 'C']",['A']
.TAU_application,0.0,0.0,0.0
ADD,0.0,0.199,0.199
ADI,0.0,0.199,0.199
ALLOC_SPACE,0.0,0.0,0.0
COMPUTE_BUFFER_SIZE,0.0,0.0,0.0
COMPUTE_RHS,0.0,0.199,0.199
COPY_FACES,0.0,0.199,0.199
ERROR_NORM,0.0,0.0,0.0
EXACT_RHS,0.0,0.0,0.0
EXACT_SOLUTION,0.747,0.755,0.998
INITIALIZE,0.0,0.0,0.0
LHSINIT,0.0,0.0,0.0
LHSX,0.998,0.6,0.6
LHSY,0.998,0.6,0.6
LHSZ,0.998,0.6,0.6
MAKE_SET,0.0,0.0,0.0
MPI_Allreduce(),0.0,0.0,0.0
MPI_Barrier(),0.0,0.0,0.0
MPI_Bcast(),0.0,0.0,0.0
MPI_Comm_dup(),0.0,0.0,0.0
MPI_Comm_rank(),0.0,0.0,0.0
MPI_Comm_size(),0.0,0.0,0.0
MPI_Finalize(),0.0,0.0,0.0
MPI_Init(),0.0,0.0,0.0
MPI_Irecv(),0.998,0.6,0.6
MPI_Isend(),0.998,0.6,0.6
MPI_Reduce(),0.0,0.0,0.0
MPI_Waitall(),1.115,0.693,0.693
MPSP,0.0,0.0,0.0
NINVR,0.998,0.6,0.6
PINVR,0.998,0.6,0.6
RHS_NORM,0.0,0.0,0.0
SETUP_MPI,0.0,0.0,0.0
SET_CLASS,0.75,0.75,0.75
SET_CONSTANTS,0.0,0.0,0.0
TXINVR,0.0,0.199,0.199
TZETAR,0.998,0.6,0.6
VERIFY,0.0,0.0,0.0
X_SOLVE,0.0,0.199,0.199
Y_SOLVE,0.0,0.199,0.199
Z_SOLVE,0.0,0.199,0.199
