,"['A', 'B', 'C', 'D']","['A', 'B', 'C']",['A']
.TAU_application,0.0,0.0,0.0
ADD,0.0,0.199,0.199
ADI,0.0,0.199,0.199
ALLOC_SPACE,0.0,0.0,0.0
BTIO_CLEANUP,0.0,0.0,0.0
COMPUTE_BUFFER_SIZE,0.0,0.0,0.0
COMPUTE_RHS,0.0,0.198,0.198
COPY_FACES,0.0,0.198,0.198
ERROR_NORM,0.0,0.0,0.0
EXACT_RHS,0.0,0.0,0.0
EXACT_SOLUTION,0.747,0.755,0.998
INITIALIZE,0.0,0.0,0.0
LHSABINIT,0.998,0.601,0.601
LHSINIT,0.0,0.0,0.0
MAKE_SET,0.0,0.0,0.0
MPBT,0.0,0.0,0.0
MPI_Allreduce(),0.0,0.0,0.0
MPI_Barrier(),0.0,0.0,0.0
MPI_Bcast(),0.0,0.0,0.0
MPI_Comm_dup(),0.0,0.0,0.0
MPI_Comm_rank(),0.0,0.0,0.0
MPI_Comm_size(),0.0,0.0,0.0
MPI_Finalize(),0.0,0.0,0.0
MPI_Init(),0.0,0.0,0.0
MPI_Irecv(),0.998,0.601,0.601
MPI_Isend(),0.998,0.601,0.601
MPI_Reduce(),0.0,0.0,0.0
MPI_Wait(),1.141,0.715,0.715
MPI_Waitall(),0.0,0.198,0.198
RHS_NORM,0.0,0.0,0.0
SETUP_BTIO,0.0,0.0,0.0
SETUP_MPI,0.0,0.0,0.0
SET_CLASS,0.75,0.75,0.75
SET_CONSTANTS,0.0,0.0,0.0
VERIFY,0.0,0.0,0.0
X_BACKSUBSTITUTE,0.998,0.601,0.601
X_RECEIVE_BACKSUB_INFO,1.141,0.715,0.715
X_RECEIVE_SOLVE_INFO,1.141,0.715,0.715
X_SEND_BACKSUB_INFO,1.141,0.715,0.715
X_SEND_SOLVE_INFO,1.141,0.715,0.715
X_SOLVE,0.0,0.199,0.199
X_SOLVE_CELL,0.998,0.601,0.601
X_UNPACK_BACKSUB_INFO,1.141,0.715,0.715
X_UNPACK_SOLVE_INFO,1.141,0.715,0.715
Y_BACKSUBSTITUTE,0.998,0.601,0.601
Y_RECEIVE_BACKSUB_INFO,1.141,0.715,0.715
Y_RECEIVE_SOLVE_INFO,1.141,0.715,0.715
Y_SEND_BACKSUB_INFO,1.141,0.715,0.715
Y_SEND_SOLVE_INFO,1.141,0.715,0.715
Y_SOLVE,0.0,0.199,0.199
Y_SOLVE_CELL,0.998,0.601,0.601
Y_UNPACK_BACKSUB_INFO,1.141,0.715,0.715
Y_UNPACK_SOLVE_INFO,1.141,0.715,0.715
Z_BACKSUBSTITUTE,0.998,0.601,0.601
Z_RECEIVE_BACKSUB_INFO,1.141,0.715,0.715
Z_RECEIVE_SOLVE_INFO,1.141,0.715,0.715
Z_SEND_BACKSUB_INFO,1.141,0.715,0.715
Z_SEND_SOLVE_INFO,1.141,0.715,0.715
Z_SOLVE,0.0,0.199,0.199
Z_SOLVE_CELL,0.998,0.601,0.601
Z_UNPACK_BACKSUB_INFO,1.141,0.715,0.715
Z_UNPACK_SOLVE_INFO,1.141,0.715,0.715
