,"[1, 2, 4, 8, 16, 32, 64, 128, 256]","[1, 2, 4, 8, 16, 32, 64, 128]","[1, 2, 4, 8, 16, 32]","[1, 2, 4, 8]","[1, 2]"
.TAU_application,0.0,0.0,0.0,0.0,0.0
ALLOC_SPACE,0.0,0.0,0.0,0.0,0.0
CG,0.0,0.0,0.0,0.0,0.0
CONJ_GRAD,0.0,0.0,0.0,24.473,24.473
ICNVRT,0.0,0.0,0.0,27.722,27.722
INITIALIZE_MPI,0.0,0.0,0.0,0.0,0.0
MAKEA,0.0,0.0,0.0,0.0,0.0
MPI_Barrier(),0.0,0.0,0.0,0.0,0.0
MPI_Bcast(),0.0,0.0,0.0,0.0,0.0
MPI_Comm_rank(),0.0,0.0,0.0,0.0,0.0
MPI_Comm_size(),0.0,0.0,0.0,0.0,0.0
MPI_Finalize(),0.0,0.0,0.0,0.0,0.0
MPI_Init(),0.0,0.0,0.0,0.0,0.0
MPI_Irecv(),0.417,0.751,2.08,5.624,15.061
MPI_Reduce(),0.0,0.0,0.0,0.0,0.0
MPI_Send(),0.417,0.751,2.08,5.624,15.061
MPI_Wait(),0.417,0.751,2.08,5.624,15.061
SETUP_PROC_INFO,0.0,0.0,0.0,0.0,0.0
SETUP_SUBMATRIX_INFO,0.0,0.0,0.0,0.0,0.0
SPARSE,0.0,0.0,0.0,0.0,0.0
SPRNVC,0.0,0.0,0.0,25.213,25.213
VECSET,0.0,0.0,0.0,25.213,25.213
