FunctionName,"['A', 'B', 'C', 'D']","['A', 'B', 'C']",['A']
.TAU_application,0.0,0.0,0.0
ADD,0.3696920050143653,0.0,0.0
ADI,0.3696920050143653,0.0,0.0
ALLOC_SPACE,0.0,0.0,0.0
COMPUTE_BUFFER_SIZE,0.0,0.0,0.0
COMPUTE_RHS,0.3689479382874722,0.0,0.0
COPY_FACES,0.3689479382874722,0.0,0.0
ERROR_NORM,0.0,0.0,0.0
EXACT_RHS,0.0,0.0,0.0
EXACT_SOLUTION,0.695544236673812,0.141629747043068,0.0
INITIALIZE,0.0,0.0,0.0
LHSINIT,0.0,0.0,0.0
LHSX,0.3696920050143653,0.0,0.0
LHSY,0.3696920050143653,0.0,0.0
LHSZ,0.3696920050143653,0.0,0.0
MAKE_SET,0.0,0.0,0.0
MPI_Allreduce(),0.0,0.0,0.0
MPI_Barrier(),0.0,0.0,0.0
MPI_Bcast(),0.0,0.0,0.0
MPI_Comm_dup(),0.0,0.0,0.0
MPI_Comm_rank(),0.0,0.0,0.0
MPI_Comm_size(),0.0,0.0,0.0
MPI_Finalize(),0.0,0.0,0.0
MPI_Init(),0.0,0.0,0.0
MPI_Irecv(),0.3696454127548967,0.0,0.0
MPI_Isend(),0.3696454127548967,0.0,0.0
MPI_Reduce(),0.0,0.0,0.0
MPI_Waitall(),0.3696838121160307,0.0,0.0
MPSP,0.0,0.0,0.0
NINVR,0.3696920050143653,0.0,0.0
PINVR,0.3696920050143653,0.0,0.0
RHS_NORM,0.0,0.0,0.0
SETUP_MPI,0.0,0.0,0.0
SET_CLASS,0.0,0.0,0.0
SET_CONSTANTS,0.0,0.0,0.0
TXINVR,0.3696920050143653,0.0,0.0
TZETAR,0.3696920050143653,0.0,0.0
VERIFY,0.0,0.0,0.0
X_SOLVE,0.3696920050143653,0.0,0.0
Y_SOLVE,0.3696920050143653,0.0,0.0
Z_SOLVE,0.3696920050143653,0.0,0.0
Average,0.17021265392797477,0.0034543840742211705,0.0
