,"[1, 2, 4, 8, 16, 32, 64, 128, 256]","[1, 2, 4, 8, 16, 32, 64, 128]","[1, 2, 4, 8, 16, 32]","[1, 2, 4, 8]","[1, 2]"
.TAU_application,0.0,0.0,0.0,0.0,0.0
ALLOC_SPACE,0.0,0.0,0.0,0.0,0.0
APPLU,0.0,0.0,0.0,0.0,0.0
BCAST_INPUTS,0.0,0.0,0.0,0.0,0.0
BLTS,0.166,0.28,0.4,0.866,15.0
BUTS,0.166,0.28,0.4,0.866,15.0
ERHS,0.0,0.0,0.0,0.0,0.0
ERROR,0.0,0.0,0.0,0.0,0.0
EXACT,0.0,0.0,0.0,0.0,0.0
EXCHANGE_1,0.0,0.0,0.0,0.0,0.0
EXCHANGE_3,0.0,0.0,0.0,0.0,0.0
EXCHANGE_4,0.0,0.0,0.0,0.0,0.0
EXCHANGE_5,0.166,0.28,0.4,0.866,15.0
EXCHANGE_6,0.142,0.219,0.285,0.464,2024.999
INIT_COMM,0.0,0.0,0.0,0.0,0.0
ISQRT2,0.0,0.0,0.0,0.0,0.0
JACLD,0.166,0.28,0.4,0.866,15.0
JACU,0.166,0.28,0.4,0.866,15.0
L2NORM,0.0,0.0,0.0,0.0,0.0
MPI_Allreduce(),0.0,0.0,0.0,0.0,0.0
MPI_Barrier(),0.0,0.0,0.0,0.0,0.0
MPI_Bcast(),0.0,0.0,0.0,0.0,0.0
MPI_Comm_rank(),0.0,0.0,0.0,0.0,0.0
MPI_Comm_size(),0.0,0.0,0.0,0.0,0.0
MPI_Finalize(),0.0,0.0,0.0,0.0,0.0
MPI_Init(),0.0,0.0,0.0,0.0,0.0
NEIGHBORS,0.0,0.0,0.0,0.0,0.0
PINTGR,0.0,0.0,0.0,0.0,0.0
PROC_GRID,0.0,0.0,0.0,0.0,0.0
READ_INPUT,0.0,0.0,0.0,0.0,0.0
RHS,0.0,0.0,0.0,0.0,0.0
SETBV,0.0,0.0,0.0,0.0,0.0
SETCOEFF,0.0,0.0,0.0,0.0,0.0
SETIV,0.0,0.0,0.0,0.0,0.0
SET_CLASS,0.0,0.0,0.0,0.0,32384.999
SSOR,0.0,0.0,0.0,0.0,0.0
SUBDOMAIN,0.0,0.0,0.0,0.0,0.0
VERIFY,0.0,0.0,0.0,0.0,32384.999
