FunctionName,"['A', 'B', 'C', 'D']","['A', 'B', 'C']",['A']
.TAU_application,0.0,0.0,0.0
MPI_Allreduce(),0.0,0.0,0.0
MPI_Alltoall(),0.0,0.0,0.0
MPI_Alltoallv(),0.0,0.0,0.0
MPI_Bcast(),0.0,0.0,0.0
MPI_Comm_dup(),0.0,0.0,0.0
MPI_Comm_rank(),0.0,0.0,0.0
MPI_Comm_size(),0.0,0.0,0.0
MPI_Finalize(),0.0,0.0,0.0
MPI_Init(),0.0,0.0,0.0
MPI_Irecv(),0.0,0.0,0.0
MPI_Reduce(),0.0,0.0,0.0
MPI_Send(),0.0,0.0,0.0
MPI_Wait(),0.0,0.0,0.0
double_find_my_seed(int_int_long_double_double),0.0,0.0,0.0
double_randlc(double_*_double_*),9.873561695822883e-05,0.0002894595676725408,0.0
int_main(int_char_**),0.0,0.0,0.0
void_alloc_space(void),0.0,0.0,0.0
void_create_seq(double_double),0.0,0.0,0.0
void_full_verify(void),0.0,0.0,0.0
void_rank(int),0.0,0.0,0.0
Average,4.7016960456299445e-06,1.3783788936787657e-05,0.0
