,"[1, 2, 4, 8, 16, 32, 64, 128, 256]","[1, 2, 4, 8, 16, 32, 64, 128]","[1, 2, 4, 8, 16, 32]","[1, 2, 4, 8]","[1, 2]"
.TAU_application,0.0,0.0,0.0,0.0,0.0
ALLOC_SPACE,0.0,0.0,0.0,0.0,0.0
APPLU,0.0,0.0,0.0,0.0,0.0
BCAST_INPUTS,0.0,0.0,0.0,0.0,0.0
BLTS,17.035586894881945,16.589813502699972,15.92845386127593,13.940812199704137,0.0
BUTS,17.035586894881945,16.589813502699972,15.92845386127593,13.940812199704137,0.0
ERHS,0.0,0.0,0.0,0.0,0.0
ERROR,0.0,0.0,0.0,0.0,0.0
EXACT,0.00010134770166919393,5.531136031915155e-05,7.633352942783339e-05,6.095312405001966e-05,7.0958775468156455e-15
EXCHANGE_1,0.0,0.0,0.0,0.0,0.0
EXCHANGE_3,0.0,0.0,0.0,0.0,0.0
EXCHANGE_4,0.0,0.0,0.0,0.0,0.0
EXCHANGE_5,17.035586894881924,16.58981350269996,15.928453861275955,13.940812199704164,0.0
EXCHANGE_6,17.367603922097928,16.58981350269997,15.928453861275957,13.940812199704167,5.551115123125783e-15
INIT_COMM,0.0,0.0,0.0,0.0,0.0
ISQRT2,0.0,0.0,0.0,0.0,0.0
JACLD,17.035586894881945,16.589813502699972,15.92845386127593,13.940812199704137,0.0
JACU,17.035586894881945,16.589813502699972,15.92845386127593,13.940812199704137,0.0
L2NORM,0.0,0.0,0.0,0.0,0.0
MPI_Allreduce(),0.0,0.0,0.0,0.0,0.0
MPI_Barrier(),0.0,0.0,0.0,0.0,0.0
MPI_Bcast(),0.0,0.0,0.0,0.0,0.0
MPI_Comm_rank(),0.0,0.0,0.0,0.0,0.0
MPI_Comm_size(),0.0,0.0,0.0,0.0,0.0
MPI_Finalize(),0.0,0.0,0.0,0.0,0.0
MPI_Init(),0.0,0.0,0.0,0.0,0.0
NEIGHBORS,0.0,0.0,0.0,0.0,0.0
PINTGR,0.0,0.0,0.0,0.0,0.0
PROC_GRID,0.0,0.0,0.0,0.0,0.0
READ_INPUT,0.0,0.0,0.0,0.0,0.0
RHS,0.0,0.0,0.0,0.0,0.0
SETBV,0.0,0.0,0.0,0.0,0.0
SETCOEFF,0.0,0.0,0.0,0.0,0.0
SETIV,0.0,0.0,0.0,0.0,0.0
SET_CLASS,0.0,0.0,1.850371707708594e-15,0.0,5.551115123125783e-15
SSOR,0.0,0.0,0.0,0.0,0.0
SUBDOMAIN,0.0,0.0,0.0,0.0,0.0
VERIFY,0.0,0.0,1.850371707708594e-15,0.0,5.551115123125783e-15
Average,2.6985694669528764,2.6194456928305296,2.5150210395048695,2.201182477667077,6.249795504261314e-16
