function name,Linear model,Log10 model,Inverse model,Branch model
.TAU_application,0.0,0.0,0.0,0.0
MPI_Allreduce(),0.0,3.229739708000455e-14,1.6148698540002275e-14,0.0
MPI_Alltoall(),0.0,3.229739708000455e-14,1.6148698540002275e-14,0.0
MPI_Alltoallv(),0.0,3.229739708000455e-14,1.6148698540002275e-14,0.0
MPI_Bcast(),0.0,0.0,0.0,0.0
MPI_Comm_dup(),0.0,0.0,0.0,0.0
MPI_Comm_rank(),0.0,0.0,0.0,0.0
MPI_Comm_size(),0.0,0.0,0.0,0.0
MPI_Finalize(),0.0,0.0,0.0,0.0
MPI_Init(),0.0,0.0,0.0,0.0
MPI_Irecv(),0.0,0.0,0.0,0.0
MPI_Reduce(),0.0,0.0,0.0,0.0
MPI_Send(),0.0,0.0,0.0,0.0
MPI_Wait(),0.0,0.0,0.0,0.0
double_find_my_seed(int_int_long_double_double),0.0,0.0,0.0,0.0
double_randlc(double_*_double_*),3.216628248374457e-05,0.0005933744878720657,531.7048477463196,3.216628248374457e-05
int_main(int_char_**),0.0,0.0,0.0,0.0
void_alloc_space(void),0.0,0.0,0.0,0.0
void_create_seq(double_double),0.0,0.0,0.0,0.0
void_full_verify(void),0.0,0.0,0.0,0.0
void_rank(int),0.0,3.229739708000455e-14,1.6148698540002275e-14,0.0
