function name,Linear model,Log10 model,Inverse model,Branch model
.TAU_application,0.0,0.0,0.0,0.0
ALLOC_SPACE,0.0,0.0,0.0,0.0
BUBBLE,0.0,1.2796260146641187e-14,0.0,0.0
COMM3,0.0,5.970947359328573e-14,0.0,0.0
COMM3_EX,0.0,0.0,0.0,0.0
GIVE3,0.0,3.437243770872745e-14,0.0,0.0
GIVE3_EX,0.0,2.3684757858670007e-14,0.0,0.0
INTERP,0.0,0.0,0.0,0.0
MG3P,0.0,1.7763568394002505e-14,0.0,0.0
MG_MPI,0.0,0.0,0.0,0.0
MPI_Allreduce(),0.0,1.6148698540002278e-14,0.0,0.0
MPI_Barrier(),0.0,0.0,0.0,0.0
MPI_Bcast(),0.0,0.0,0.0,0.0
MPI_Comm_rank(),0.0,0.0,0.0,0.0
MPI_Comm_size(),0.0,0.0,0.0,0.0
MPI_Finalize(),0.0,0.0,0.0,0.0
MPI_Init(),0.0,0.0,0.0,0.0
MPI_Irecv(),0.0,1.6805149700164972e-14,0.0,0.0
MPI_Reduce(),0.0,0.0,0.0,0.0
MPI_Send(),0.0,1.6805149700164972e-14,0.0,0.0
MPI_Wait(),0.0,1.6805149700164972e-14,0.0,0.0
NORM2U3,0.0,0.0,0.0,0.0
POWER,0.0,0.0,0.0,0.0
PSINV,0.0,3.552713678800501e-14,0.0,0.0
READY,0.0,1.6805149700164972e-14,0.0,0.0
RESID,0.0,1.691768418476429e-14,0.0,0.0
RPRJ3,0.0,0.0,0.0,0.0
SETUP,0.0,0.0,0.0,0.0
TAKE3,0.0,3.437243770872745e-14,0.0,0.0
TAKE3_EX,0.0,2.3684757858670007e-14,0.0,0.0
ZERO3,0.0,0.0,0.0,0.0
ZRAN3,0.0,0.0,0.0,0.0
