function name,Linear model,Log10 model,Inverse model,Branch model
.TAU_application,0.0,0.0,0.0,0.0
ALLOC_SPACE,0.0,0.0,0.0,0.0
CG,0.0,0.0,0.0,0.0
CONJ_GRAD,0.0,0.0,0.0,0.0
ICNVRT,0.0,6.455073931195685e-14,0.0,0.0
INITIALIZE_MPI,0.0,0.0,0.0,0.0
MAKEA,0.0,0.0,0.0,0.0
MPI_Barrier(),0.0,0.0,0.0,0.0
MPI_Bcast(),0.0,0.0,0.0,0.0
MPI_Comm_rank(),0.0,0.0,0.0,0.0
MPI_Comm_size(),0.0,0.0,0.0,0.0
MPI_Finalize(),0.0,0.0,0.0,0.0
MPI_Init(),0.0,0.0,0.0,0.0
MPI_Irecv(),0.0,2.1613467247455518e-14,0.0,0.0
MPI_Reduce(),0.0,0.0,0.0,0.0
MPI_Send(),0.0,2.1613467247455518e-14,0.0,0.0
MPI_Wait(),0.0,2.1613467247455518e-14,0.0,0.0
SETUP_PROC_INFO,0.0,0.0,0.0,0.0
SETUP_SUBMATRIX_INFO,0.0,0.0,0.0,0.0
SPARSE,0.0,0.0,0.0,0.0
SPRNVC,0.0,3.8978344361696925e-14,1.2992781453898976e-14,0.0
VECSET,0.0,3.8978344361696925e-14,1.2992781453898976e-14,0.0
