,"['A', 'B', 'C', 'D']","['A', 'B', 'C']",['A']
.TAU_application,0.0,0.0,0.0
ALLOC_SPACE,0.0,0.0,0.0
APPLU,0.0,0.0,0.0
BCAST_INPUTS,0.0,0.0,0.0
BLTS,2.577329299438116,0.35672912564889,0.0
BUTS,2.577329299438116,0.35672912564889,0.0
ERHS,0.0,0.0,0.0
ERROR,0.0,0.0,0.0
EXACT,1.0701444468547099,0.4790025833356506,0.0
EXCHANGE_1,2.982745386936081,0.17843310076819596,0.0
EXCHANGE_3,0.30409383683598823,0.0,0.0
EXCHANGE_4,0.0,0.0,0.0
EXCHANGE_5,0.0,0.0,0.0
EXCHANGE_6,0.0,0.0,0.0
INIT_COMM,0.0,0.0,0.0
ISQRT2,0.0,0.0,0.0
JACLD,2.577329299438116,0.35672912564889,0.0
JACU,2.577329299438116,0.35672912564889,0.0
L2NORM,0.0,0.0,0.0
MPI_Allreduce(),0.0,0.0,0.0
MPI_Barrier(),0.0,0.0,0.0
MPI_Bcast(),0.0,0.0,0.0
MPI_Comm_rank(),0.0,0.0,0.0
MPI_Comm_size(),0.0,0.0,0.0
MPI_Finalize(),0.0,0.0,0.0
MPI_Init(),0.0,0.0,0.0
MPI_Irecv(),0.3035291915601601,0.0,0.0
MPI_Recv(),2.98272494767621,0.1784331007681835,0.0
MPI_Send(),3.122903020116124,0.1259023829660429,0.0
MPI_Wait(),0.3035291915601601,0.0,0.0
NEIGHBORS,0.0,0.0,0.0
PINTGR,0.0,0.0,0.0
PROC_GRID,0.0,0.0,0.0
READ_INPUT,0.0,0.0,0.0
RHS,0.3051054916050934,0.0,0.0
SETBV,0.0,0.0,0.0
SETCOEFF,0.0,0.0,0.0
SETIV,0.0,0.0,0.0
SET_CLASS,0.0,0.0,0.0
SSOR,0.0,0.0,0.0
SUBDOMAIN,0.0,0.0,0.0
VERIFY,0.0,0.0,0.0
