,"[1, 2, 4, 8, 16, 32, 64, 128, 256]","[1, 2, 4, 8, 16, 32, 64, 128]","[1, 2, 4, 8, 16, 32]","[1, 2, 4, 8]","[1, 2]"
.TAU_application,0.0,0.0,0.0,0.0,0.0
MPI_Allreduce(),0.0,0.0,0.0,0.0,0.0
MPI_Alltoall(),0.0,0.0,0.0,0.0,0.0
MPI_Alltoallv(),0.0,0.0,0.0,0.0,0.0
MPI_Bcast(),0.0,0.0,0.0,0.0,0.0
MPI_Comm_dup(),0.0,0.0,0.0,0.0,0.0
MPI_Comm_rank(),0.0,0.0,0.0,0.0,0.0
MPI_Comm_size(),0.0,0.0,0.0,0.0,0.0
MPI_Finalize(),0.0,0.0,0.0,0.0,0.0
MPI_Init(),0.0,0.0,0.0,0.0,0.0
MPI_Irecv(),12.392764945866038,13.092271346380768,16.328679393239888,19.718976022590205,5.572882803355689e-15
MPI_Reduce(),0.0,0.0,0.0,0.0,0.0
MPI_Send(),12.392764945866038,13.092271346380768,16.328679393239888,19.718976022590205,5.572882803355689e-15
MPI_Wait(),12.392764945866038,13.092271346380768,16.328679393239888,19.718976022590205,5.572882803355689e-15
double_find_my_seed(int_int_long_double_double),0.0,0.0,0.0,0.0,0.0
double_randlc(double_*_double_*),122.56588418237091,149.01241549880282,51.13895150658221,10.714245800511586,2.1093770039602826e-13
int_main(int_char_**),0.0,0.0,0.0,0.0,0.0
void_alloc_space(void),0.0,0.0,0.0,0.0,0.0
void_create_seq(double_double),0.0,0.0,0.0,0.0,0.0
void_full_verify(void),0.0,0.0,0.0,0.0,0.0
void_rank(int),0.0,0.0,0.0,0.0,0.0
Average,7.606865667617572,8.966153787521197,4.7678566517286605,3.3271987556324856,1.0840778514575967e-14
